sample,timestamp,wall_time,phase,agg_nodes,bw_mbps,iops,lat_mean_us,lat_p50_us,lat_p95_us,lat_p99_us,lat_max_us
174,2026-09-13T19:53:45-05:00,3534,quiet_3,16,3791.8,30334,2108.0,2072.6,2474.0,2768.9,4505.0
175,2026-09-13T19:54:05-05:00,3554,quiet_3,16,3796.6,30373,2105.4,2072.6,2474.0,2768.9,3875.7
176,2026-09-13T19:54:25-05:00,3574,quiet_3,16,3840.0,30720,2081.5,2039.8,2474.0,2768.9,4055.3
177,2026-09-13T19:54:46-05:00,3595,quiet_3,16,3716.1,29729,2151.0,2113.5,2539.5,2834.4,4028.0
178,2026-09-13T19:55:06-05:00,3615,load_3,16,3828.9,30631,2087.6,2056.2,2474.0,2736.1,4339.3
179,2026-09-13T19:55:27-05:00,3636,load_3,16,3805.6,30445,2100.4,2072.6,2474.0,2768.9,3900.1
180,2026-09-13T19:55:47-05:00,3656,load_3,16,3822.2,30578,2091.2,2056.2,2474.0,2768.9,3823.5
181,2026-09-13T19:56:08-05:00,3677,load_3,16,3750.3,30002,2131.3,2089.0,2539.5,2834.4,4144.9
182,2026-09-13T19:56:28-05:00,3697,load_3,16,3838.1,30705,2082.6,2039.8,2441.2,2736.1,4547.5
183,2026-09-13T19:56:48-05:00,3717,load_3,16,3806.0,30448,2100.3,2072.6,2474.0,2768.9,4025.7
184,2026-09-13T19:57:09-05:00,3738,load_3,16,3813.2,30506,2096.0,2056.2,2474.0,2736.1,3968.7
185,2026-09-13T19:57:29-05:00,3758,load_3,16,3790.9,30328,2108.5,2072.6,2506.8,2768.9,4253.2
186,2026-09-13T19:57:50-05:00,3779,load_3,16,3797.3,30378,2104.9,2072.6,2474.0,2736.1,3866.9
187,2026-09-13T19:58:10-05:00,3799,load_3,16,3806.7,30454,2099.7,2056.2,2474.0,2736.1,3710.4
188,2026-09-13T19:58:30-05:00,3819,load_3,16,3804.5,30436,2100.9,2072.6,2474.0,2768.9,4091.2
189,2026-09-13T19:58:51-05:00,3840,load_3,16,3857.2,30857,2072.2,2039.8,2474.0,2768.9,4350.8
190,2026-09-13T19:59:11-05:00,3860,load_3,16,3819.9,30560,2092.6,2056.2,2474.0,2768.9,4179.3
191,2026-09-13T19:59:32-05:00,3881,load_3,16,3838.9,30711,2082.2,2039.8,2474.0,2736.1,4011.5
192,2026-09-13T19:59:52-05:00,3901,load_3,16,3817.3,30538,2094.0,2056.2,2474.0,2736.1,3720.2
193,2026-09-13T20:00:13-05:00,3922,load_3,16,3797.1,30376,2105.2,2072.6,2474.0,2736.1,5244.1
194,2026-09-13T20:00:33-05:00,3942,load_3,16,3770.4,30164,2120.0,2089.0,2506.8,2768.9,3991.7
195,2026-09-13T20:00:53-05:00,3962,load_3,16,3804.6,30437,2101.0,2056.2,2474.0,2768.9,3801.0
196,2026-09-13T20:01:14-05:00,3983,load_3,16,3808.3,30466,2098.9,2056.2,2474.0,2768.9,7092.3
197,2026-09-13T20:01:34-05:00,4003,load_3,16,3839.7,30717,2081.8,2039.8,2441.2,2703.4,3925.4
198,2026-09-13T20:01:55-05:00,4024,load_3,16,3839.8,30718,2081.8,2039.8,2474.0,2768.9,3960.2
199,2026-09-13T20:02:15-05:00,4044,load_3,16,3811.7,30494,2097.1,2056.2,2474.0,2736.1,4178.3
200,2026-09-13T20:02:36-05:00,4065,load_3,16,3822.0,30576,2091.4,2056.2,2474.0,2736.1,4019.8
201,2026-09-13T20:02:56-05:00,4085,load_3,16,3782.2,30258,2113.4,2072.6,2506.8,2768.9,3778.9
202,2026-09-13T20:03:16-05:00,4105,load_3,16,3829.5,30636,2087.3,2056.2,2441.2,2703.4,3839.3
203,2026-09-13T20:03:37-05:00,4126,load_3,16,3786.7,30293,2110.8,2072.6,2506.8,2768.9,4641.6
204,2026-09-13T20:03:57-05:00,4146,load_3,16,3724.6,29796,2146.0,2113.5,2539.5,2834.4,4395.0
205,2026-09-13T20:04:18-05:00,4167,load_3,16,3802.8,30422,2101.9,2072.6,2474.0,2768.9,11585.0
206,2026-09-13T20:04:38-05:00,4187,load_3,16,3839.9,30719,2081.6,2039.8,2441.2,2703.4,3908.2
207,2026-09-13T20:04:58-05:00,4207,recover_3,16,3822.4,30579,2091.1,2056.2,2474.0,2736.1,5177.7
208,2026-09-13T20:05:19-05:00,4228,recover_3,16,3843.1,30745,2079.9,2039.8,2441.2,2703.4,5098.7
209,2026-09-13T20:05:39-05:00,4248,recover_3,16,3803.7,30430,2101.4,2072.6,2474.0,2703.4,3993.0
210,2026-09-13T20:06:00-05:00,4269,recover_3,16,3807.4,30459,2099.4,2056.2,2474.0,2736.1,7664.6
211,2026-09-13T20:06:20-05:00,4289,recover_3,16,3832.0,30656,2085.9,2056.2,2474.0,2768.9,4509.8
212,2026-09-13T20:06:41-05:00,4310,recover_3,16,3847.3,30778,2077.8,2039.8,2441.2,2736.1,4514.5
213,2026-09-13T20:07:01-05:00,4330,recover_3,16,3801.1,30409,2102.8,2072.6,2474.0,2768.9,4131.6
214,2026-09-13T20:07:21-05:00,4350,recover_3,16,3835.1,30681,2084.2,2039.8,2441.2,2736.1,4226.5
215,2026-09-13T20:07:42-05:00,4371,recover_3,16,3810.5,30484,2097.8,2056.2,2474.0,2736.1,4027.8
216,2026-09-13T20:08:02-05:00,4391,recover_3,16,3831.0,30648,2086.4,2056.2,2474.0,2736.1,4036.0
217,2026-09-13T20:08:23-05:00,4412,recover_3,16,3829.4,30635,2087.3,2039.8,2474.0,2801.7,4813.7
218,2026-09-13T20:08:43-05:00,4432,recover_3,16,3816.8,30534,2094.3,2056.2,2474.0,2736.1,3955.5
219,2026-09-13T20:09:04-05:00,4453,recover_3,16,3815.3,30523,2095.0,2056.2,2474.0,2768.9,3977.4
220,2026-09-13T20:09:24-05:00,4473,recover_3,16,3806.4,30451,2100.1,2072.6,2474.0,2736.1,4950.0
221,2026-09-13T20:09:44-05:00,4493,recover_3,16,3831.5,30652,2086.2,2056.2,2441.2,2768.9,4163.2
