timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/09/12 15:06:09.937, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:09.937, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:09.937, 3, 63.54 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:10.937, 0, 172.71 W, 100 %, 4 %, 83463 MiB
2026/09/12 15:06:10.937, 1, 63.09 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:10.937, 2, 64.45 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:10.937, 3, 63.51 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:11.937, 0, 173.18 W, 100 %, 5 %, 83463 MiB
2026/09/12 15:06:11.937, 1, 63.08 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:11.937, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:11.937, 3, 63.52 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:12.937, 0, 133.65 W, 0 %, 0 %, 1947 MiB
2026/09/12 15:06:12.943, 1, 63.12 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:12.943, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:12.943, 3, 63.53 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:13.946, 0, 69.63 W, 0 %, 0 %, 531 MiB
2026/09/12 15:06:13.946, 1, 63.16 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:13.946, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:13.946, 3, 63.48 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:14.946, 0, 63.58 W, 0 %, 0 %, 531 MiB
2026/09/12 15:06:14.946, 1, 63.16 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:14.946, 2, 64.48 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:14.946, 3, 63.43 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:15.946, 0, 63.58 W, 0 %, 0 %, 531 MiB
2026/09/12 15:06:15.946, 1, 63.16 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:15.946, 2, 64.53 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:15.946, 3, 63.52 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:16.947, 0, 63.38 W, 0 %, 0 %, 531 MiB
2026/09/12 15:06:16.947, 1, 63.16 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:16.947, 2, 64.47 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:16.947, 3, 63.52 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:17.947, 0, 63.24 W, 0 %, 0 %, 531 MiB
2026/09/12 15:06:17.947, 1, 63.15 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:17.947, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:17.947, 3, 63.46 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:18.947, 0, 63.16 W, 0 %, 0 %, 531 MiB
2026/09/12 15:06:18.947, 1, 63.15 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:18.947, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:18.947, 3, 63.48 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:19.947, 0, 63.12 W, 0 %, 0 %, 531 MiB
2026/09/12 15:06:19.949, 1, 63.17 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:19.966, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:19.982, 3, 63.49 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:20.982, 0, 63.09 W, 0 %, 0 %, 531 MiB
2026/09/12 15:06:20.982, 1, 63.16 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:20.982, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:20.982, 3, 63.55 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:21.982, 0, 63.10 W, 0 %, 0 %, 531 MiB
2026/09/12 15:06:21.982, 1, 63.16 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:21.982, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:21.982, 3, 63.57 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:22.983, 0, 63.10 W, 0 %, 0 %, 531 MiB
2026/09/12 15:06:22.983, 1, 63.16 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:22.983, 2, 64.50 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:22.983, 3, 63.57 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:23.983, 0, 63.10 W, 0 %, 0 %, 531 MiB
2026/09/12 15:06:23.983, 1, 63.15 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:23.983, 2, 64.45 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:23.983, 3, 63.53 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:24.983, 0, 63.10 W, 0 %, 0 %, 531 MiB
2026/09/12 15:06:24.983, 1, 63.13 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:24.983, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:24.983, 3, 63.55 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:25.983, 0, 63.11 W, 0 %, 0 %, 531 MiB
2026/09/12 15:06:25.983, 1, 63.17 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:25.983, 2, 64.45 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:25.983, 3, 63.57 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:26.984, 0, 63.09 W, 0 %, 0 %, 531 MiB
2026/09/12 15:06:26.984, 1, 63.15 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:26.984, 2, 64.49 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:26.984, 3, 63.51 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:27.984, 0, 63.07 W, 0 %, 0 %, 531 MiB
2026/09/12 15:06:27.984, 1, 63.16 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:27.984, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:27.984, 3, 63.56 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:28.984, 0, 63.01 W, 0 %, 0 %, 531 MiB
2026/09/12 15:06:28.984, 1, 63.17 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:28.984, 2, 64.48 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:28.984, 3, 63.54 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:29.984, 0, 62.97 W, 0 %, 0 %, 551 MiB
2026/09/12 15:06:29.987, 1, 63.17 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:29.987, 2, 64.52 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:29.987, 3, 63.56 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:30.987, 0, 62.63 W, 0 %, 0 %, 2467 MiB
2026/09/12 15:06:31.003, 1, 63.16 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:31.019, 2, 64.46 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:31.035, 3, 63.57 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:32.069, 0, 62.78 W, 17 %, 0 %, 16589 MiB
2026/09/12 15:06:32.069, 1, 63.14 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:32.069, 2, 64.45 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:32.069, 3, 63.57 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:33.069, 0, 63.40 W, 19 %, 0 %, 16589 MiB
2026/09/12 15:06:33.069, 1, 63.14 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:33.069, 2, 64.53 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:33.069, 3, 63.58 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:34.069, 0, 63.39 W, 19 %, 0 %, 16589 MiB
2026/09/12 15:06:34.070, 1, 63.15 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:34.070, 2, 64.52 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:34.070, 3, 63.61 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:35.070, 0, 62.70 W, 0 %, 0 %, 17145 MiB
2026/09/12 15:06:35.070, 1, 63.17 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:35.070, 2, 64.51 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:35.070, 3, 63.59 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:36.070, 0, 62.52 W, 0 %, 0 %, 17145 MiB
2026/09/12 15:06:36.070, 1, 63.15 W, 0 %, 0 %, 4 MiB
2026/09/12 15:06:36.070, 2, 64.50 W, 0 %, 0 %, 4 MiB
